42 
1 	7066.250000 	1317.750000 	7283.000000 	902.000000 
11 	10691.500000 	4354.000000 	10808.000000 	3930.250000 
21 	9537.800000 	10258.800000 	9617.500000 	9816.333000 
26 	1885.000000 	11363.600000 	2102.600000 	10921.600000 
31 	15133.750000 	10929.500000 	15234.600000 	10486.400000 
41 	7477.333000 	13382.333000 	7624.250000 	12936.000000 
2 	6470.000000 	3824.000000 	6673.600000 	3399.400000 
3 	9277.500000 	2713.750000 	9448.400000 	2291.400000 
4 	14540.000000 	3535.750000 	14633.800000 	3115.000000 
5 	3504.000000 	514.000000 		3765.167000 	99.167000 
6 	5390.333000 	3328.667000 	5620.000000 	2907.667000 
7 	10826.333000 	2399.333000 	10955.500000 	1983.250000 
8 	2169.000000 	1238.333000 	2433.250000 	823.500000 
9 	11040.000000 	2951.667000 	11178.500000 	2534.000000 
10 	12695.000000 	3963.000000 	12644.500000 	3537.500000 
12 	13716.750000 	4796.000000 	13779.000000 	4372.500000 
13 	13967.000000 	6505.500000 	14066.800000 	6078.800000 
14 	2462.500000 	6418.000000 	2680.500000 	5988.167000 
15 	4484.500000 	6484.000000 	4673.167000 	6056.500000 
16 	10016.750000 	7795.000000 	9949.250000 	7362.500000 
17 	11481.500000 	6494.750000 	11531.750000 	6066.000000 
18 	14661.250000 	5633.000000 	14772.000000 	5205.600000 
19 	7737.400000 	8837.400000 	7867.400000 	8403.400000 
20 	10211.833000 	8910.667000 	10205.667000 	8474.500000 
22 	10864.400000 	9303.200000 	10963.000000 	8869.200000 
23 	14488.500000 	11611.500000 	14607.500000 	11168.000000 
24 	3492.000000 	11060.750000 	3689.250000 	10617.500000 
25 	1910.600000 	9360.000000 	2131.600000 	8924.200000 
27 	9537.800000 	10259.200000 	9617.000000 	9816.000000 
28 	12456.800000 	8618.000000 	12572.000000 	8180.000000 
29 	13384.800000 	8291.800000 	13499.500000 	7855.500000 
30 	13258.000000 	10025.400000 	13353.000000 	9586.000000 
32 	14518.250000 	9495.750000 	14620.400000 	9058.400000 
33 	5085.500000 	13348.333000 	5272.500000 	12901.750000 
34 	9452.800000 	15147.600000 	9567.750000 	14691.750000 
35 	9948.500000 	12321.000000 	10085.000000 	11873.667000 
36 	981.600000 		14352.200000 	1201.500000 	13901.500000 
37 	9358.000000 	12976.800000 	9478.000000 	12527.000000 
38 	3714.296000 	13052.546000 	3913.190000 	12605.089000 
39 	2859.000000 	14598.800000 	3059.250000 	14145.750000 
40 	1398.667000 	14386.167000 	1616.500000 	13936.250000 
42 	13902.250000 	14718.250000 	14028.000000 	14268.500000

