42
1 	34.7215095083 	112.9551644278 	176.9233330000 
11 	34.5928060556 	113.0301345194 	443.7330000000 
21 	34.5927304500 	113.2399058556 	532.2403330000 
26 	34.8196505806 	113.3388130111 	113.0410000000 
31 	34.4159374830 	113.2176606030 	342.6870000000 
41 	34.6358290100 	113.3624898000 	275.2286667000  
2 	34.7248300694 	113.0452797222 	189.3033330000 
3 	34.6455903250 	112.9853004444 	290.4760000000 
4 	34.4795536639 	112.9718589389 	479.3100000000 
5 	34.8355536917 	112.9557622583 	88.8770000000 
6 	34.7607671417 	113.0369149500 	114.5950000000 
7 	34.6003422722 	112.9626559361 	428.5280000000 
8 	34.8722821500 	112.9911516000 	87.4336666700 
9 	34.5902707600 	112.9796291000 	373.2126667000 
10 	34.5359434700 	113.0016845000 	1085.3983330000
12 	34.4977400250 	113.0213719194 	596.4940000000 
13 	34.4790025972 	113.0772020861 	410.6500000000 
14 	34.8322638139 	113.1656391194 	158.2150000000 
15 	34.7699644417 	113.1518537611 	235.4953330000 
16 	34.5953118670 	113.1530266060 	1129.8880000000 
17 	34.5563421440 	113.0968441110 	659.0590000000 
18 	34.4628359000 	113.0419394000 	370.5623333000 
19 	34.6562154861 	113.2060309278 	376.7033330000 
20 	34.5815381333 	113.1891372389 	870.4780000000 
22 	34.5574231056 	113.1968728306 	433.2560000000 
23 	34.4313371389 	113.2459801167 	271.7630000000 
24 	34.7722955861 	113.3155426694 	165.6100000000 
25 	34.8311437278 	113.2703567444 	118.8523330000 
27 	34.5927563830 	113.2398967080 	532.6360000000 
28 	34.5123653610 	113.1606632390 	362.5900000000 
29 	34.4857795970 	113.1422452780 	342.2640000000 
30 	34.4793044470 	113.2021328190 	405.3640000000
32 	34.4436935890 	113.1740587190 	356.8460000000 
33 	34.7091876694 	113.3805776639 	162.1220000000 
34 	34.5645949917 	113.4064458917 	363.5770000000 
35 	34.5665189806 	113.3064871361 	284.2010000000 
36 	34.8289094444 	113.4479903306 	98.6570000000 
37 	34.5809213167 	113.3334729361 	355.3160000000 
38 	34.7530799194 	113.3815438889 	140.1110000000 
39 	34.7698732389 	113.4410907750 	143.2370000000 
40 	34.8158599000 	113.4457523000 	102.3343333000 
42 	34.4300153300 	113.3560726000 	236.5353333000 
